GEO_ID,Bachelor,Poverty,OldHousing,Black,SimpsonsDI,VacantHousing,OwnerOccupied,FamiliesWithChildren,Pct5Plus
42101028100,12.2,22.4,73.2,93.8,0.1616159999999999,10.5,71.1,12.6,10.2
42101028200,19.3,27.7,60.5,86.0,0.312432,8.1,47.3,20.8,10.2
42101028300,8.9,40.9,57.0,85.3,0.30831800000000004,15.3,35.5,27.9,16.7
42101028400,5.9,47.6,65.1,74.8,0.465388,8.3,61.8,37.6,12.0
42101028500,6.5,36.7,46.9,44.2,0.7376269999999999,8.7,38.6,37.4,7.2
42101028600,8.0,38.5,64.3,55.2,0.685237,12.3,44.9,42.2,10.0
42101028700,10.1,44.9,66.6,24.6,0.761229,9.3,44.9,37.7,4.1
42101028800,5.7,30.8,61.0,18.6,0.780672,17.5,44.1,39.3,6.5
42101028901,3.8,39.7,61.5,23.0,0.696543,8.6,62.9,45.9,3.5
42101028902,3.4,36.7,49.4,31.3,0.771967,8.9,54.6,35.0,5.5
42101029000,9.5,32.9,44.8,37.9,0.7711840000000002,8.8,54.6,37.6,6.0
42101029100,7.3,35.4,44.4,40.9,0.7552610000000001,17.3,32.5,36.4,4.2
42101029200,13.2,15.7,53.0,40.5,0.773058,16.8,71.8,29.7,7.3
42101029300,9.1,42.8,73.6,42.0,0.7362000000000001,21.1,53.7,30.9,8.4
42101029400,3.4,52.1,88.7,50.7,0.7179399999999999,20.2,49.1,24.5,10.2
42101029800,9.2,34.1,52.3,31.3,0.740703,10.5,55.1,29.3,5.5
42101029900,9.6,45.4,66.1,56.2,0.65721,13.1,42.0,29.0,5.8
42101030000,4.8,37.3,62.5,60.2,0.610256,15.8,43.4,31.6,11.1
42101030100,11.8,23.0,68.39999999999999,51.2,0.6360779999999999,27.5,44.4,25.5,7.6
42101030200,12.0,20.4,61.400000000000006,44.8,0.7304139999999999,15.3,60.5,27.7,6.1
42101030501,8.0,36.9,48.400000000000006,54.2,0.675172,5.7,56.8,42.2,2.1
42101030502,12.8,29.6,47.900000000000006,51.6,0.673623,6.4,66.1,40.5,2.4
42101030600,16.8,23.5,47.5,25.5,0.746392,5.2,47.9,30.2,3.2
42101030800,16.3,14.4,40.7,7.9,0.638891,7.2,71.1,29.3,4.7
42101030900,13.4,32.2,33.4,36.0,0.7970779999999998,8.5,51.9,34.3,3.1
42101031101,13.4,27.2,38.6,38.3,0.772257,7.6,43.8,38.4,3.2
42101031102,12.9,13.9,62.2,59.1,0.6312180000000001,3.2,73.0,29.6,3.4
42101031200,10.5,33.8,54.9,48.2,0.7165170000000001,11.4,58.8,44.1,4.5
42101031300,18.2,27.3,24.200000000000003,26.0,0.779804,15.4,44.2,38.5,3.2
