GEO_ID,Poverty,Bachelor,White,White-NH,Black,Black-NH,Asian,Asian-NH,AmericanIndian,AmericanIndian-NH,NHPI,NHPI-NH,Other,Other-NH,Multi,Multi-NH,Pre-1939 Housing,1939-1949 Housing,VacantHousing,OwnerOccupied,FamiliesWithChildren,White-H,Black-H,Asian-H,AmericanIndian-H,NHPI-H,Other-H,Multi-H,SimpsonsDI,OldHousing
42101024100,43.5,13.4,26.5,22.7,69.6,68.5,0.0,0.0,0.7,0.7,0.0,0.0,0.5,0.0,2.8,2.3,37.8,15.9,21.1,12.4,5.8,3.8000000000000007,1.0999999999999943,0.0,0.0,0.0,0.5,0.5,0.4780529999999999,53.699999999999996
42101024200,28.3,17.5,12.7,12.7,81.2,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,3.3,3.3,50.5,24.2,22.1,42.3,22.1,0.0,1.2000000000000028,0.0,0.0,0.0,2.9,0.0,0.342797,74.7
42101024300,36.5,19.7,12.7,11.8,85.7,85.1,0.4,0.4,0.0,0.0,0.3,0.3,0.1,0.0,0.9,0.9,33.5,19.9,15.0,38.5,22.9,0.8999999999999986,0.6000000000000085,0.0,0.0,0.0,0.1,0.0,0.26265100000000013,53.4
42101024400,29.7,12.7,5.2,5.2,93.5,93.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,61.6,28.3,23.5,55.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12395499999999995,89.9
42101024500,31.4,11.5,5.0,4.5,92.2,89.8,0.4,0.4,0.6,0.6,0.0,0.0,1.0,0.8,0.8,0.4,43.1,24.1,24.0,46.0,24.4,0.5,2.4000000000000057,0.0,0.0,0.0,0.19999999999999996,0.4,0.19081800000000002,67.2
42101024600,38.9,16.1,10.0,10.0,86.1,85.8,0.0,0.0,0.3,0.3,0.0,0.0,1.7,0.0,1.9,1.9,48.4,8.8,23.3,31.6,23.6,0.0,0.29999999999999716,0.0,0.0,0.0,1.7,0.0,0.253168,57.2
42101024700,48.5,13.8,7.0,6.5,88.3,87.7,0.1,0.1,0.0,0.0,0.1,0.1,0.3,0.0,4.2,3.6,40.3,24.8,23.5,45.4,23.4,0.5,0.5999999999999943,0.0,0.0,0.0,0.3,0.6000000000000001,0.22524199999999994,65.1
42101024800,20.3,12.1,1.3,1.0,93.0,92.4,0.0,0.0,3.5,3.5,0.0,0.0,0.0,0.0,2.2,2.2,45.5,35.6,9.1,70.9,23.3,0.30000000000000004,0.5999999999999943,0.0,0.0,0.0,0.0,0.0,0.14436999999999992,81.1
42101024900,36.4,6.5,0.8,0.3,96.6,96.6,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.3,0.3,50.0,27.3,30.2,63.7,20.7,0.5,0.0,0.0,0.0,0.0,2.3,0.0,0.06627200000000003,77.3
42101025200,32.2,10.5,7.8,6.6,91.4,91.1,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.4,0.4,35.5,35.1,18.4,46.4,25.3,1.2000000000000002,0.30000000000001137,0.0,0.0,0.0,0.0,0.0,0.16553800000000016,70.6
42101025300,30.1,24.1,5.8,5.7,86.4,86.4,1.4,1.4,0.0,0.0,0.0,0.0,1.4,0.0,5.0,4.2,48.5,16.7,23.7,57.4,23.8,0.09999999999999964,0.0,0.0,0.0,0.0,1.4,0.7999999999999998,0.24803399999999995,65.2
42101025400,12.4,38.8,10.5,9.4,81.0,80.5,0.7,0.7,0.9,0.9,0.0,0.0,1.4,0.4,5.5,5.1,32.1,20.2,6.6,63.4,16.8,1.0999999999999996,0.5,0.0,0.0,0.0,0.9999999999999999,0.40000000000000036,0.34012999999999993,52.3
42101025500,7.7,39.4,25.7,24.7,65.9,58.3,0.5,0.5,0.0,0.0,0.0,0.0,0.9,0.3,7.1,7.1,40.6,26.0,5.5,74.4,19.3,1.0,7.6000000000000085,0.0,0.0,0.0,0.6000000000000001,0.0,0.5891149999999999,66.6
42101025600,12.3,63.2,52.1,51.6,42.7,41.3,0.4,0.4,0.4,0.0,0.0,0.0,1.8,1.1,2.5,2.5,66.1,8.2,6.9,65.6,25.5,0.5,1.4000000000000057,0.0,0.4,0.0,0.7,0.0,0.561127,74.3
42101025700,9.7,59.4,61.1,55.3,29.8,29.3,3.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,5.8,5.8,34.1,4.3,9.2,24.0,19.7,5.800000000000004,0.5,0.0,0.0,0.0,0.0,0.0,0.6005,38.4
